Age,Sex,Education,Native Country,Race,Marital Status,Work Class,Occupation,Hours Per Week,Income,Capital Gain,Capital Loss
Middle-aged,Male,Bachelors,United-States,White,Never-married,State-gov,Adm-clerical,Full-time,Small,Low,None
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,Part-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Divorced,Private,Handlers-cleaners,Full-time,Small,None,None
Senior,Male,11th,United-States,Black,Married-civ-spouse,Private,Handlers-cleaners,Full-time,Small,None,None
Middle-aged,Female,Bachelors,Cuba,Black,Married-civ-spouse,Private,Prof-specialty,Full-time,Small,None,None
Middle-aged,Female,Masters,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Small,None,None
Senior,Female,9th,Jamaica,Black,Married-spouse-absent,Private,Other-service,Part-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,Over-time,Large,None,None
Middle-aged,Female,Masters,United-States,White,Never-married,Private,Prof-specialty,Over-time,Large,High,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Large,Low,None
Middle-aged,Male,Some-college,United-States,Black,Married-civ-spouse,Private,Exec-managerial,Workaholic,Large,None,None
Middle-aged,Male,Bachelors,India,Asian-Pac-Islander,Married-civ-spouse,State-gov,Prof-specialty,Full-time,Large,None,None
Young,Female,Bachelors,United-States,White,Never-married,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Assoc-acdm,United-States,Black,Never-married,Private,Sales,Over-time,Small,None,None
Middle-aged,Male,7th-8th,Mexico,Amer-Indian-Eskimo,Married-civ-spouse,Private,Transport-moving,Over-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Self-emp-not-inc,Farming-fishing,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Male,11th,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Small,None,None
Middle-aged,Female,Masters,United-States,White,Divorced,Self-emp-not-inc,Exec-managerial,Over-time,Large,None,None
Middle-aged,Male,Doctorate,United-States,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Large,None,None
Senior,Female,HS-grad,United-States,Black,Separated,Private,Other-service,Part-time,Small,None,None
Middle-aged,Male,9th,United-States,Black,Married-civ-spouse,Federal-gov,Farming-fishing,Full-time,Small,None,None
Middle-aged,Male,11th,United-States,White,Married-civ-spouse,Private,Transport-moving,Full-time,Small,None,High
Senior,Female,HS-grad,United-States,White,Divorced,Private,Tech-support,Full-time,Small,None,None
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,Local-gov,Tech-support,Full-time,Large,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Divorced,Private,Exec-managerial,Workaholic,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Young,Male,Assoc-acdm,United-States,White,Never-married,Local-gov,Protective-serv,Over-time,Small,None,None
Young,Male,Some-college,United-States,Black,Never-married,Private,Sales,Over-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Divorced,Private,Exec-managerial,Full-time,Small,None,Low
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Federal-gov,Adm-clerical,Full-time,Small,None,None
Young,Male,Some-college,United-States,Black,Married-civ-spouse,State-gov,Other-service,Part-time,Small,None,None
Senior,Male,11th,Puerto-Rico,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Young,Female,HS-grad,United-States,White,Married-AF-spouse,Private,Adm-clerical,Part-time,Small,None,None
Senior,Male,Assoc-acdm,United-States,White,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,Full-time,Small,None,None
Middle-aged,Male,9th,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Over-time,Small,None,None
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,Full-time,Small,None,None
Young,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Tech-support,Over-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Separated,Private,Adm-clerical,Full-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Handlers-cleaners,Full-time,Small,None,None
Senior,Male,Bachelors,United-States,Black,Married-civ-spouse,Federal-gov,Prof-specialty,Full-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Female,Masters,United-States,White,Divorced,Private,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,Assoc-voc,United-States,White,Married-civ-spouse,State-gov,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,Assoc-voc,United-States,White,Never-married,Private,Prof-specialty,Over-time,Small,None,None
Young,Female,Some-college,United-States,Other,Married-civ-spouse,Private,Exec-managerial,Full-time,Small,None,None
Senior,Female,Prof-school,Honduras,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Large,None,High
Senior,Male,Bachelors,United-States,White,Divorced,Federal-gov,Exec-managerial,Over-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Divorced,Self-emp-inc,Exec-managerial,Over-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Private,Tech-support,Full-time,Large,None,None
Senior,Male,5th-6th,Mexico,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Male,Assoc-voc,Puerto-Rico,White,Married-civ-spouse,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Adm-clerical,Over-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,Low,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Small,Low,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Transport-moving,Full-time,Small,None,None
Middle-aged,Male,Doctorate,United-States,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Large,None,None
Middle-aged,Male,Some-college,United-States,White,Divorced,Private,Tech-support,Over-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Divorced,Private,Adm-clerical,Full-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Married-civ-spouse,Private,Adm-clerical,Full-time,Large,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Self-emp-inc,Exec-managerial,Over-time,Large,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Prof-specialty,Full-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,Black,Separated,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Self-emp-not-inc,Sales,Workaholic,Large,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Old,Male,Some-college,United-States,White,Married-civ-spouse,Private,Prof-specialty,Part-time,Small,None,None
Middle-aged,Male,HS-grad,Mexico,White,Never-married,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,Assoc-acdm,United-States,White,Married-civ-spouse,Private,Adm-clerical,Full-time,Small,None,None
Young,Female,11th,United-States,White,Never-married,Private,Other-service,Part-time,Small,None,None
Middle-aged,Male,7th-8th,United-States,White,Married-civ-spouse,Local-gov,Farming-fishing,Full-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Senior,Male,Bachelors,Cuba,White,Married-civ-spouse,Private,Other-service,Full-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Married-civ-spouse,Private,Other-service,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Divorced,Private,Craft-repair,Full-time,Large,High,None
Senior,Female,HS-grad,United-States,White,Divorced,Private,Sales,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Local-gov,Protective-serv,Full-time,Large,None,None
Middle-aged,Male,Masters,United-States,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Small,None,None
Middle-aged,Male,9th,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Middle-aged,Female,Doctorate,United-States,White,Never-married,Federal-gov,Prof-specialty,Over-time,Large,None,None
Senior,Male,Assoc-voc,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Divorced,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,Black,Divorced,Private,Machine-op-inspct,Part-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Local-gov,Protective-serv,Full-time,Large,None,None
Middle-aged,Male,Some-college,United-States,White,Never-married,Local-gov,Handlers-cleaners,Over-time,Small,None,None
Senior,Male,Doctorate,United-States,White,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,Over-time,Large,None,High
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Large,None,None
Senior,Female,Assoc-acdm,England,White,Divorced,Private,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,Black,Never-married,Federal-gov,Other-service,Full-time,Small,None,None
Old,Male,Masters,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Large,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,High,None
Senior,Female,Masters,United-States,White,Never-married,Self-emp-not-inc,Prof-specialty,Over-time,Small,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Tech-support,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Never-married,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-inc,Craft-repair,Full-time,Large,High,None
Middle-aged,Male,11th,United-States,White,Never-married,Private,Handlers-cleaners,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Local-gov,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Handlers-cleaners,Full-time,Small,None,None
Young,Male,Bachelors,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,Prof-school,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Large,None,None
Senior,Male,HS-grad,Canada,White,Married-civ-spouse,Self-emp-not-inc,Other-service,Over-time,Large,None,Low
Middle-aged,Female,Some-college,United-States,White,Married-civ-spouse,Private,Sales,Part-time,Small,Low,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Senior,Male,9th,United-States,White,Married-civ-spouse,Private,Handlers-cleaners,Over-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Self-emp-inc,Sales,Over-time,Small,None,None
Senior,Male,Assoc-voc,United-States,Black,Married-civ-spouse,Local-gov,Craft-repair,Full-time,Large,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Craft-repair,Over-time,Small,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Small,None,None
Middle-aged,Male,Bachelors,Germany,Black,Never-married,Private,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,State-gov,Prof-specialty,Over-time,Large,None,None
Young,Male,Some-college,United-States,Black,Never-married,Private,Other-service,Full-time,Small,None,None
Senior,Female,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Large,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Adm-clerical,Full-time,Small,None,Low
Middle-aged,Male,Assoc-acdm,United-States,White,Married-civ-spouse,Private,Adm-clerical,Full-time,Large,None,None
Middle-aged,Male,Some-college,United-States,White,Divorced,Private,Craft-repair,Full-time,Small,None,None
